rosbagTimestamp,linear,x,y,z,angular,x,y,z
1.5609534350026E+018,,0,0,0,,0,0,0
1.56095343505259E+018,,0,0,0,,0,0,0
1.56095343510345E+018,,0,0,0,,0,0,0
1.56095343515268E+018,,0,0,0,,0,0,0
1.56095343515549E+018,,0,0,0,,0,0,0
1.56095343516762E+018,,0,0,0,,0,0,0
1.56095343517148E+018,,0,0,0,,0,0,0
1.56095343517577E+018,,0,0,0,,0,0,0
1.56095343518347E+018,,0,0,0,,0,0,0
1.56095343518804E+018,,0,0,0,,0,0,0
1.56095343520016E+018,,0.0012519371,0,0,,0,0,0
1.56095343521143E+018,,0.0082779765,0,0,,0,0,0
1.56095343522854E+018,,0.011790996,0,0,,0,0,0
1.5609534352355E+018,,0.0188170344,0,0,,0,0,0
1.56095343524514E+018,,0.0223300546,0,0,,0,0,0
1.56095343524893E+018,,0.0293560922,0,0,,0,0,0
1.56095343525613E+018,,0.0328691125,0,0,,0,0,0
1.56095343526348E+018,,0.039895153,0,0,,0,0,0
1.56095343527551E+018,,0.0434081703,0,0,,0,0,0
1.56095343529293E+018,,0.0504342079,0,0,,0,0,0
1.5609534353023E+018,,0.0539472282,0,0,,0,0,0
1.56095343531148E+018,,0.0609732687,0,0,,0,0,0
1.5609534353279E+018,,0.064486289,0,0,,0,0,0
1.56095343534352E+018,,0.0715123296,0,0,,0,0,0
1.56095343535549E+018,,0.0750253499,0,0,,0,0,0
1.56095343536347E+018,,0.0820513844,0,0,,0,0,0
1.56095343537152E+018,,0.0855644047,0,0,,0,0,0
1.56095343537948E+018,,0.0925904453,0,0,,0,0,0
1.56095343538808E+018,,0.0961034656,0,0,,0,0,0
1.56095343539148E+018,,0.1031295061,0,0,,0,0,0
1.56095343539614E+018,,0.1066560864,0,0,,0,0,0
1.56095343540435E+018,,0.113682127,0,0,,0,0,0
1.56095343540807E+018,,0.1171951413,0,0,,0,0,0
1.56095343541767E+018,,0.1242211819,0,0,,0,0,0
1.56095343542E+018,,0.1312472224,0,0,,0,0,0
1.56095343542347E+018,,0.1347602487,0,0,,0,0,0
1.56095343542805E+018,,0.1417862773,0,0,,0,0,0
1.56095343543148E+018,,0.1523253441,0,0,,0,0,0
1.56095343543605E+018,,0.1558383584,0,0,,0,0,0
1.56095343543992E+018,,0.162864399,0,0,,0,0,0
1.56095343544345E+018,,0.1663774133,0,0,,0,0,0
1.5609534354475E+018,,0.1734034538,0,0,,0,0,0
1.5609534354526E+018,,0.1769164801,0,0,,0,0,0
1.5609534354559E+018,,0.1874555349,0,0,,0,0,0
1.5609534354595E+018,,0.1944815755,0,0,,0,0,0
1.56095343546752E+018,,0.1979945898,0,0,,0,0,0
1.56095343547552E+018,,0.2050206423,0,0,,0,0,0
1.56095343548417E+018,,0.2085336447,0,0,,0,0,0
1.56095343549549E+018,,0.2155596972,0,0,,0,0,0
1.560953435516E+018,,0.2190727234,0,0,,0,0,0
1.56095343556556E+018,,0.2190727234,0,0,,0,0,0
1.56095343557949E+018,,0.226098752,0,0,,0,0,0
1.56095343559152E+018,,0.2296117783,0,0,,0,0,0
1.56095343559546E+018,,0.2366378069,0,0,,0,0,0
1.56095343560899E+018,,0.2401508331,0,0,,0,0,0
1.56095343561158E+018,,0.2471768618,0,0,,0,0,0
1.56095343561552E+018,,0.250689888,0,0,,0,0,0
1.56095343561946E+018,,0.2577294827,0,0,,0,0,0
1.5609534356234E+018,,0.2682685375,0,0,,0,0,0
1.56095343562744E+018,,0.2717815638,0,0,,0,0,0
1.56095343563146E+018,,0.2788076162,0,0,,0,0,0
1.56095343563546E+018,,0.2893466711,0,0,,0,0,0
1.56095343564197E+018,,0.2963726997,0,0,,0,0,0
1.56095343564346E+018,,0.3069117546,0,0,,0,0,0
1.56095343564746E+018,,0.3174508333,0,0,,0,0,0
1.56095343565215E+018,,0.3279898882,0,0,,0,0,0
1.56095343565545E+018,,0.3385289431,0,0,,0,0,0
1.56095343565967E+018,,0.3420419693,0,0,,0,0,0
1.56095343566348E+018,,0.3525810242,0,0,,0,0,0
1.56095343566795E+018,,0.363120079,0,0,,0,0,0
1.56095343567146E+018,,0.3736591339,0,0,,0,0,0
1.56095343567945E+018,,0.3912242413,0,0,,0,0,0
1.56095343568346E+018,,0.4,0,0,,0,0,0
1.56095343573502E+018,,0.4,0,0,,0,0,0
1.56095343578364E+018,,0.4,0,0,,0,0,0
1.56095343583369E+018,,0.4,0,0,,0,0,0
1.56095343588377E+018,,0.4,0,0,,0,0,0
1.56095343593568E+018,,0.4,0,0,,0,0,0
1.5609534359865E+018,,0.4,0,0,,0,0,0
1.56095343603396E+018,,0.4,0,0,,0,0,0
1.56095343608405E+018,,0.4,0,0,,0,0,0
1.56095343613415E+018,,0.4,0,0,,0,0,0
1.56095343618419E+018,,0.4,0,0,,0,0,0
1.56095343621553E+018,,0.4,0,0,,0,0,0
1.56095343622347E+018,,0.4,0,0,,0,0,0
1.56095343622744E+018,,0.4,0,0,,0,0,0
1.56095343623545E+018,,0.4,0,0,,0,0,0
1.56095343624131E+018,,0.4,0,0,,0,0,0
